mondo_id,label,pubmed_total_count,ct_active_trials,ct_total_enrollment_target,wiki_annual_pv,wiki_lang_count,google_result_count
MONDO:0000001,disease,9415040,1000,5055908,448871,173,0
MONDO:0000004,adrenocortical insufficiency,1883,64,88675,132409,26,0
MONDO:0000005,"alopecia, isolated",893,4,1375,7390,3,0
MONDO:0000009,"inherited bleeding disorder, platelet-type",27,27,112012,34922,3,0
MONDO:0000014,"colorblindness, partial",61,0,0,523244,85,0
MONDO:0000015,classic complement early component deficiency,115,0,0,159901,49,0
MONDO:0000022,nocturnal enuresis,3477,37,4802,124981,47,0
MONDO:0000023,infantile liver failure,487,3,20450,54710,12,0
MONDO:0000030,familial sleep-related hypermotor epilepsy,221,0,0,0,0,0
MONDO:0000032,"febrile seizures, familial",1359,5,656,0,0,0
MONDO:0000044,hereditary hypophosphatemic rickets,1571,10,67735,0,0,0
MONDO:0000045,"hypothyroidism, congenital, nongoitrous",75,0,0,0,0,0
MONDO:0000050,isolated congenital growth hormone deficiency,278,2,470,0,0,0
MONDO:0000060,microcephalic osteodysplastic primordial dwarfism,184,2,245,0,0,0
MONDO:0000062,isolated microphthalmia,517,1,300,0,0,0
MONDO:0000065,"microvascular complications of diabetes, susceptibility",453,2,3314,0,0,0
MONDO:0000066,mitochondrial respiratory chain complex deficiency,4144,1,1000,0,0,0
MONDO:0000070,"Mycobacterium tuberculosis, susceptibility",10696,25,15651,255658,50,0
MONDO:0000078,acrocephalopolysyndactyly,46,4,773,8177,6,0
MONDO:0000079,"nephrolithiasis/osteoporosis, hypophosphatemic",4,1,35000,6410,2,0
MONDO:0000082,pelvic organ prolapse,18256,104,80518,114111,19,0
MONDO:0000087,polymicrogyria,1471,3,3797,34568,8,0
MONDO:0000088,precocious puberty,7774,15,30012,324022,22,0
MONDO:0000090,progressive external ophthalmoplegia with mitochondrial DNA deletions,691,0,0,15815,7,0
MONDO:0000104,"anemia, hypochromic microcytic with iron overload",12,0,0,68001,14,0
MONDO:0000105,"anemia, nonspherocytic hemolytic",1187,0,0,6807,2,0
MONDO:0000107,auriculocondylar syndrome,57,0,0,2637,7,0
